Sample	Protein Name	Number of Peptides	Average Intensity	dorsolateral prefrontal cortex
1	uc001acj.4	1	7.468033609242022	7.468033609242022
10	uc001aql.1	1	8.23669921003199	8.23669921003199
11	uc001aqq.3	1	8.585766883784544	8.585766883784544
12	uc001aqx.4;uc001aqy.3;uc001aqz.3;uc001ara.3;uc001arb.3	1	7.269878438313037	7.269878438313037
13	uc001arc.3;uc010oak.2	3	9.710228820572468	9.710228820572468
14	uc001art.3;uc010oap.2	1	8.016829924925748	8.016829924925748
15	uc001arz.1	3	8.81652648808031	8.81652648808031
16	uc001asc.3;uc001asd.3	1	8.710184493554001	8.710184493554001
17	uc001asl.3;uc010oas.2	1	8.151856281780788	8.151856281780788
18	uc001avm.4	1	7.673322503347682	7.673322503347682
19	uc001azt.2;uc001azu.2	1	7.42690357571994	7.42690357571994
2	uc001afz.2;uc001aga.2;uc001agb.2	1	8.42173139991153	8.42173139991153
20	uc001bae.4	1	9.076530909745603	9.076530909745603
21	uc001bbi.3	1	8.599825780706272	8.599825780706272
22	uc001bbo.4;uc001bbp.4;uc001bbq.4	1	8.613296656893574	8.613296656893574
23	uc001bce.4;uc010ocz.2	1	7.796595423037406	7.796595423037406
24	uc001bge.3;uc001bgf.3;uc009vqj.1;uc010odu.2	1	8.099815258437484	8.099815258437484
25	uc001bgk.2;uc001bgl.3;uc001bgm.1	2	8.725623285876338	8.725623285876338
26	uc001bhk.4;uc001bhl.4	1	8.694761078287875	8.694761078287875
27	uc001bht.3	1	8.00336013299122	8.00336013299122
28	uc001bie.4	1	7.539951837408418	7.539951837408418
29	uc001bjo.2	1	9.58167858040176	9.58167858040176
3	uc001alu.3;uc001alx.2	1	8.827927551199714	8.827927551199714
30	uc001blb.3;uc001blc.3;uc010oev.2	1	7.971856978215239	7.971856978215239
31	uc001bmt.1;uc001bmu.1;uc001bmv.1;uc001bmw.1;uc003qqn.3;uc003qqo.3;uc003qqp.3	1	7.840230842063238	7.840230842063238
32	uc001bng.2	4	9.371348385026824	9.371348385026824
33	uc001bov.2;uc001bow.2;uc021ojy.1	1	8.240076758503209	8.240076758503209
34	uc001bpe.2;uc010ofp.2	1	8.881500377121963	8.881500377121963
35	uc001bpn.3	1	8.23616099548834	8.23616099548834
36	uc001brg.2;uc001brh.2;uc001bri.2;uc001brj.2;uc001brk.3;uc001brl.2;uc001brm.2;uc009vtk.2;uc009vtl.2;uc009vtm.2;uc021okg.1	3	8.912508160740812	8.912508160740812
37	uc001brp.2;uc001brq.2;uc001brt.2;uc010ofz.2	1	8.48287301216827	8.48287301216827
38	uc001bso.3;uc010oge.2	1	8.178093367108728	8.178093367108728
39	uc001bss.1	4	8.960860478261447	8.960860478261447
4	uc001amd.3	1	9.21354060001967	9.21354060001967
40	uc001btx.2;uc001bty.2	1	8.444737708038822	8.444737708038822
41	uc001bua.2;uc001bub.4	1	8.736654213440382	8.736654213440382
42	uc001buh.3	1	7.465540923716894	7.465540923716894
43	uc001buj.3	1	7.737627435338338	7.737627435338338
44	uc001bvh.4;uc001bvi.3;uc010ohg.2;uc010ohh.2	1	7.880998356703369	7.880998356703369
45	uc001bvy.1	4	9.175359325459803	9.175359325459803
46	uc001bwh.3	1	8.69359349275974	8.69359349275974
47	uc001bwo.2;uc001bwp.2;uc001bwq.2;uc009vud.2;uc010ohq.2;uc010ohr.2	2	9.050062485542574	9.050062485542574
48	uc001bys.3	2	9.377444915333857	9.377444915333857
49	uc001bzt.3	1	8.795545725172536	8.795545725172536
5	uc001amq.3;uc001amr.3;uc001ams.3;uc001amt.3	4	9.690200037408161	9.690200037408161
50	uc001bzz.4;uc001caa.4	1	8.503253950191903	8.503253950191903
6	uc001aof.2;uc001aog.2;uc010nzu.1	1	8.701825981212851	8.701825981212851
7	uc001aol.3;uc010cnt.1	1	7.490574768217318	7.490574768217318
8	uc001aox.4	1	10.002775806462395	10.002775806462395
9	uc001aqh.3;uc001aqi.3;uc010oag.2	2	8.930447378355094	8.930447378355094
