Sample	Protein Name	Number of Peptides	Average Intensity	blood plasma|control	blood plasma|case
1	uc001aru.3	1	6.454986249369248	6.454986249369248	0.0
10	uc001dka.2;uc001dkb.2;uc001dkc.3	1	5.7819184018870216	5.7819184018870216	0.0
11	uc001dti.4;uc010ouj.3	1	6.650350076076932	0.0	6.650350076076932
12	uc001dut.3;uc010ouq.1	2	6.437065358901919	6.437065358901919	0.3010299956639812
13	uc001exr.3;uc001exs.3;uc001ext.3	1	6.613633395052809	0.0	6.613633395052809
14	uc001fbq.3	3	7.837659262544634	7.987720858834438	7.5495617971812266
15	uc001fbs.3	2	6.327972317514016	5.114301998235458	6.300573312134246
16	uc001ftv.3	1	7.20923362836703	7.244722677100886	7.170584381939194
17	uc001ftw.3	3	8.397339044865657	8.398481928775688	8.407944952603538
18	uc001fzc.1	3	9.025793651811187	9.052249866516414	8.945060973817984
19	uc001ggg.1	11	7.958721388490931	7.9988044630540776	7.880351877046429
2	uc001bfj.3;uc009vqd.3	2	6.152907170521196	0.3010299956639812	6.152907170521196
20	uc001gjt.3	8	8.921049649083105	8.961221509912576	8.874159724498202
21	uc001gnz.3	1	7.078765617413189	6.806495943966988	7.14144378417173
22	uc001grt.4;uc001gru.4;uc009wyl.3;uc009wym.3	2	6.816253035729903	6.702501103565411	6.178792836440154
23	uc001gtj.4	6	8.530572298571277	8.511166195295756	8.32537848934261
24	uc001gtl.3;uc010poy.2	1	6.752367018546092	6.752367018546092	0.0
25	uc001gts.4	2	7.578737669446074	7.681531936409671	6.870363576061822
26	uc001gtt.1	2	7.396208298876684	7.308237801630976	7.508428843204967
27	uc001gzs.3	1	6.906538616770632	0.0	6.906538616770632
28	uc001hez.3	4	6.919829118730277	6.462189886043747	6.89445554630623
29	uc001hfk.3;uc001hfl.3;uc009xcd.3	2	8.419433839086112	8.498928941597622	8.324511747526252
3	uc001bfy.3	3	8.06514044445643	8.021660571273724	7.044085944329087
30	uc001hfo.3	8	8.905665137169667	8.926874495128834	8.845855709306525
31	uc001hty.5	2	8.589175001313999	8.75185782604283	8.2217344890806
32	uc001ijs.3	15	8.798352952968058	8.697962176189165	8.77389343138556
33	uc001iwv.4;uc001iww.4;uc001iwx.4;uc001iwy.4;uc001iwz.2;uc001ixa.2;uc001ixb.3;uc009xlz.3	1	6.3481457224182805	0.0	6.3481457224182805
34	uc001jjt.3	4	7.217067952738918	7.159906934341507	7.298911584374749
35	uc001kit.3	2	8.214449283930245	8.308027367647588	8.020174404650533
36	uc001kql.2	6	8.071293786338948	8.04855494945581	8.110542248408919
37	uc001lai.4;uc021pyr.1	1	6.787035199755423	6.540532682066716	6.943315245875351
38	uc001mae.1	1	8.645122989431268	8.70659697364984	8.573489625463852
39	uc001maf.1	1	7.514196589222766	7.672907477834885	7.2614874539956915
4	uc001bgc.4	1	7.0231495340539185	0.0	7.0231495340539185
40	uc001mdg.2	3	8.829271799859463	8.914291613021454	8.775405498753813
41	uc001miv.2	1	6.586395880388846	0.0	6.586395880388846
42	uc001mnz.4	4	9.248655605435426	9.164342286745141	9.259298147580154
43	uc001mvu.3;uc001mvv.3;uc001mvw.3;uc001mvx.3;uc001mwc.4;uc010rer.2;uc021qfw.1	1	7.213790018769308	7.127987600651427	7.285405166781431
44	uc001ndf.4	9	8.645975715221299	8.664322611984828	8.398187653197283
45	uc001ngo.4;uc001ngp.4	1	6.361261379922397	0.0	6.361261379922397
46	uc001nkr.1;uc010rju.1;uc010rjv.1	2	8.606602112089835	8.485530524879257	8.692647365482737
47	uc001omf.3	1	6.030477066037466	6.030477066037466	0.0
48	uc001pps.1	22	9.284346373803922	9.443247277232887	9.001767622213386
49	uc001ppt.1	1	9.108091450030857	9.2404174423717	8.916837677749097
5	uc001bgd.3	5	7.8964699501127535	7.706552443086705	7.900000507711464
50	uc001ppv.1	21	10.142889273437639	10.215230263087896	10.008036262555644
6	uc001boa.3;uc001bob.3	3	7.60999043020177	7.541673597900155	7.673829127210147
7	uc001cyf.2	1	6.816449247419298	0.0	6.816449247419298
8	uc001cyo.2	6	8.391771568744417	8.49579767696886	8.326135970573047
9	uc001cyp.4;uc010oon.3;uc010ooo.3	3	8.209052340347682	8.195807480452899	7.297332175283094
