Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	blood plasma|case	blood plasma|control
CENPVL2;CENPVL3;CENPVL1	blood plasma|case-blood plasma|control	-2.201682303	0.411797093	1.103523285	4	1.14E-07	1.14E-05	NA	0.055555556	0.055555556	0	0
COX7A2L	blood plasma|case-blood plasma|control	2.565688063	1.035698045	-0.785481922	4	1.73E-07	1.73E-05	NA	0.25	0.25	0	0
CLDN3;CLDN6;CLDN4;CLDN9	blood plasma|case-blood plasma|control	-1.97182572	1.035698045	-0.785481922	4	2.59E-07	2.59E-05	NA	0.25	0.25	0	0
HNRNPDL	blood plasma|case-blood plasma|control	1.195317742	1.035698045	-0.785481922	4	2.60E-07	2.60E-05	NA	0.25	0.25	0	0
FBLL1	blood plasma|case-blood plasma|control	1.544970423	0.98455346	-0.757537526	4	3.93E-07	3.93E-05	NA	0.111111111	0.111111111	0	0
NDUFAB1	blood plasma|case-blood plasma|control	-0.659629441	1.035698045	-0.785481922	4	5.09E-07	5.09E-05	NA	0.25	0.25	0	0
ESYT2	blood plasma|case-blood plasma|control	1.027588823	0.26838487	-2.134362076	3	6.12E-07	6.12E-05	NA	0.277777778	0.111111111	0	0.3333333
ARID1A	blood plasma|case-blood plasma|control	0.528235446	1.035698045	-0.785481922	4	6.69E-07	6.69E-05	NA	0.25	0.25	0	0
IQCA1L	blood plasma|case-blood plasma|control	-2.013792242	1.803879482	-0.925888235	4	7.00E-07	7.00E-05	NA	0.166666667	0.166666667	0	0
SCAMP3	blood plasma|case-blood plasma|control	-1.95438276	1.035698045	-0.785481922	4	8.66E-07	8.66E-05	NA	0.25	0.25	0	0
SAP18	blood plasma|case-blood plasma|control	-0.138690658	1.035698045	-0.785481922	4	9.61E-07	9.61E-05	NA	0.25	0.25	0	0
SBNO1;SBNO2	blood plasma|case-blood plasma|control	0.054134547	1.420338079	-0.305348605	4	1.04E-06	1.04E-04	NA	0.166666667	0.166666667	0	0
METTL15	blood plasma|case-blood plasma|control	0.409831469	0.921369392	-0.192054949	4	1.12E-06	1.12E-04	NA	0.055555556	0.055555556	0	0
PGRMC1	blood plasma|case-blood plasma|control	1.760743333	1.309069568	0.367910314	4	1.14E-06	1.14E-04	NA	0.444444444	0.444444444	0	0
KIF2A	blood plasma|case-blood plasma|control	-0.358736394	1.114669302	-0.586199381	4	1.20E-06	1.20E-04	NA	0.166666667	0.166666667	0	0
SMAP	blood plasma|case-blood plasma|control	0.041836958	1.528940619	-1.134284799	3	1.20E-06	1.20E-04	NA	0.333333333	0.166666667	0.3333333	0
MAP2K7	blood plasma|case-blood plasma|control	-0.010971232	1.035698045	-0.785481922	4	1.24E-06	1.24E-04	NA	0.25	0.25	0	0
HAX1	blood plasma|case-blood plasma|control	-0.790558896	0.422641373	2.638486923	4	1.34E-06	1.34E-04	NA	0.277777778	0.277777778	0	0
GNG5;GNG5B	blood plasma|case-blood plasma|control	1.116925322	1.107832278	-2.524077617	4	1.34E-06	1.34E-04	NA	0.277777778	0.277777778	0	0
IFRD1	blood plasma|case-blood plasma|control	0.472385343	1.035698045	-0.785481922	4	1.35E-06	1.35E-04	NA	0.25	0.25	0	0
ABLIM1	blood plasma|case-blood plasma|control	2.522355214	1.035698045	-0.785481922	4	1.48E-06	1.48E-04	NA	0.25	0.25	0	0
SMCHD1	blood plasma|case-blood plasma|control	-0.726393147	0.530819902	-1.576672892	4	1.52E-06	1.52E-04	NA	0.277777778	0.277777778	0	0
IKBKB	blood plasma|case-blood plasma|control	-0.259713441	1.035698045	-0.785481922	4	1.73E-06	1.73E-04	NA	0.25	0.25	0	0
UBA6	blood plasma|case-blood plasma|control	-1.582447095	1.288387663	0.582370109	4	1.75E-06	1.75E-04	NA	0.166666667	0.166666667	0	0
ILVBL	blood plasma|case-blood plasma|control	-0.014246939	0.651844739	1.548758247	2	1.82E-06	1.82E-04	NA	0.416666667	0.083333333	0.3333333	0.3333333
HAT1	blood plasma|case-blood plasma|control	-0.106319798	1.035698045	-0.785481922	4	1.89E-06	1.89E-04	NA	0.25	0.25	0	0
POLR3A	blood plasma|case-blood plasma|control	-0.019083737	1.035698045	-0.785481922	4	1.92E-06	1.92E-04	NA	0.25	0.25	0	0
CDIPT	blood plasma|case-blood plasma|control	-1.316632732	1.035698045	-0.785481922	4	1.95E-06	1.95E-04	NA	0.25	0.25	0	0
DDX39A	blood plasma|case-blood plasma|control	1.36902195	0.521956947	0.758474728	4	1.95E-06	1.95E-04	NA	0.277777778	0.277777778	0	0
VWA8	blood plasma|case-blood plasma|control	0.30944306	0.334625772	0.414807821	4	2.26E-06	2.26E-04	NA	0.055555556	0.055555556	0	0
SPTBN2	blood plasma|case-blood plasma|control	0.659215121	1.035698045	-0.785481922	4	2.31E-06	2.31E-04	NA	0.25	0.25	0	0
KRT8	blood plasma|case-blood plasma|control	-0.672999048	1.493577662	0.242054837	4	2.38E-06	2.38E-04	NA	0.222222222	0.222222222	0	0
GOLIM4	blood plasma|case-blood plasma|control	0.577832984	1.035698045	-0.785481922	4	2.63E-06	2.63E-04	NA	0.25	0.25	0	0
KRT3	blood plasma|case-blood plasma|control	3.017135841	1.159147401	0.047312109	4	2.78E-06	2.78E-04	NA	0.111111111	0.111111111	0	0
UQCR11	blood plasma|case-blood plasma|control	0.632833527	1.035698045	-0.785481922	4	2.84E-06	2.84E-04	NA	0.25	0.25	0	0
RFXAP	blood plasma|case-blood plasma|control	-1.942373504	0.556358312	-1.396111221	4	2.88E-06	2.88E-04	NA	0.222222222	0.222222222	0	0
TAX1BP3	blood plasma|case-blood plasma|control	-1.816903317	1.035698045	-0.785481922	4	2.97E-06	2.97E-04	NA	0.25	0.25	0	0
MYL12A;MYL12B;MYL9	blood plasma|case-blood plasma|control	1.746444536	1.035698045	-0.785481922	4	2.98E-06	2.98E-04	NA	0.25	0.25	0	0
SCD	blood plasma|case-blood plasma|control	2.83619106	1.035698045	-0.785481922	4	3.19E-06	3.19E-04	NA	0.25	0.25	0	0
GEMIN2	blood plasma|case-blood plasma|control	1.773654291	1.035698045	-0.785481922	4	3.23E-06	3.23E-04	NA	0.25	0.25	0	0
ACOT8	blood plasma|case-blood plasma|control	-0.367624945	1.035698045	-0.785481922	4	3.27E-06	3.27E-04	NA	0.25	0.25	0	0
GTPBP1	blood plasma|case-blood plasma|control	-0.665596238	1.397103049	-0.085798529	4	3.29E-06	3.29E-04	NA	0.166666667	0.166666667	0	0
KPNA4	blood plasma|case-blood plasma|control	-1.651736664	1.035698045	-0.785481922	4	3.42E-06	3.42E-04	NA	0.25	0.25	0	0
AIP	blood plasma|case-blood plasma|control	-1.32480077	0.281160224	2.323955185	4	3.52E-06	3.52E-04	NA	0.055555556	0.055555556	0	0
